variant,workload,workload_short,poolSize,concurrency,server_side_compute_mean,server_side_queuewait_mean,network_overhead_ms,server_latency_mean,client_latency_mean,is_worker,rest_ms
js_worker_wasm,small_512x512_k5_p1,Small,8.0,4.0,27.718,0.0,1.956,29.101,31.057,True,1.384
js_worker_wasm,small_512x512_k5_p1,Small,8.0,8.0,31.984,0.0,2.507,33.711,36.218,True,1.727
js_worker_wasm,small_512x512_k5_p1,Small,8.0,16.0,34.175,32.788,2.361,68.364,70.725,True,1.4
js_worker_wasm,small_512x512_k5_p1,Small,16.0,1.0,20.311,0.0,1.65,21.174,22.824,True,0.863
js_worker_wasm,small_512x512_k5_p1,Small,16.0,4.0,27.917,0.0,1.986,29.322,31.308,True,1.405
js_worker_wasm,small_512x512_k5_p1,Small,16.0,8.0,31.99,0.0,2.442,33.694,36.136,True,1.703
js_worker_wasm,small_512x512_k5_p1,Small,16.0,16.0,37.106,0.0,3.804,39.83,43.635,True,2.724
js_worker_wasm,small_512x512_k5_p1,Small,16.0,32.0,39.572,36.46,6.796,79.715,86.51,True,3.682
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,1.0,19.746,0.0,2.304,20.668,22.972,False,0.922
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,4.0,19.721,0.0,65.1,20.672,85.772,False,0.951
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,8.0,20.615,0.0,155.91,21.497,177.407,False,0.882
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,16.0,19.88,0.0,319.587,20.772,340.358,False,0.892
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,1.0,19.816,0.0,1.657,20.741,22.398,True,0.925
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,2.0,19.815,18.442,2.297,39.131,41.428,True,0.874
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,4.0,20.103,60.921,1.684,82.023,83.707,True,0.999
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,8.0,20.18,144.227,1.732,165.791,167.523,True,1.384
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,16.0,20.209,307.45,1.903,331.112,333.016,True,3.453
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,1.0,20.033,0.0,1.632,20.953,22.585,True,0.92
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,4.0,27.333,0.0,1.932,28.632,30.564,True,1.299
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,8.0,32.399,31.375,1.967,64.962,66.929,True,1.188
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,16.0,32.393,97.564,2.027,131.179,133.207,True,1.222
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,1.0,19.971,0.0,1.626,20.904,22.53,True,0.933
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,4.0,27.255,0.0,1.963,28.64,30.603,True,1.384
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,8.0,31.066,0.0,2.465,32.82,35.285,True,1.754
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,16.0,32.958,31.581,2.382,65.998,68.379,True,1.459
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,1.0,19.96,0.0,1.623,20.822,22.445,True,0.862
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,4.0,27.014,0.0,1.947,28.398,30.345,True,1.384
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,8.0,30.971,0.0,2.453,32.746,35.199,True,1.775
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,16.0,35.783,0.0,3.876,38.58,42.457,True,2.797
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,32.0,38.11,35.988,5.772,77.953,83.725,True,3.855
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,1.0,281.876,0.0,11.306,286.793,298.099,False,4.917
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,4.0,276.322,0.0,604.143,500.357,1104.5,False,224.036
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,8.0,272.461,0.0,812.414,1268.874,2081.288,False,996.413
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,16.0,272.206,0.0,1672.499,2192.237,3864.735,False,1920.031
js_worker,medium_1920x1080_k15_p1,Medium,1.0,1.0,270.22,0.0,11.348,275.748,287.095,True,5.528
js_worker,medium_1920x1080_k15_p1,Medium,1.0,2.0,270.849,259.99,14.357,531.382,545.739,True,0.543
js_worker,medium_1920x1080_k15_p1,Medium,1.0,4.0,272.743,786.241,12.175,1059.377,1071.552,True,0.394
js_worker,medium_1920x1080_k15_p1,Medium,1.0,8.0,272.788,1721.226,14.717,2033.141,2047.858,True,39.127
js_worker,medium_1920x1080_k15_p1,Medium,1.0,16.0,272.744,3323.344,25.263,3781.116,3806.379,True,185.028
js_worker,medium_1920x1080_k15_p1,Medium,4.0,1.0,270.071,0.0,11.508,275.66,287.168,True,5.589
js_worker,medium_1920x1080_k15_p1,Medium,4.0,4.0,392.086,0.0,12.212,398.009,410.221,True,5.923
js_worker,medium_1920x1080_k15_p1,Medium,4.0,8.0,434.691,424.009,13.839,848.891,862.73,True,-9.809
js_worker,medium_1920x1080_k15_p1,Medium,4.0,16.0,449.393,1239.634,17.588,1671.693,1689.281,True,-17.334
js_worker,medium_1920x1080_k15_p1,Medium,8.0,1.0,270.185,0.0,11.516,275.611,287.127,True,5.426
js_worker,medium_1920x1080_k15_p1,Medium,8.0,4.0,392.318,0.0,12.083,397.931,410.013,True,5.613
js_worker,medium_1920x1080_k15_p1,Medium,8.0,8.0,456.934,0.0,14.422,466.41,480.832,True,9.475
js_worker,medium_1920x1080_k15_p1,Medium,8.0,16.0,473.786,459.171,16.854,924.699,941.553,True,-8.258
js_worker,medium_1920x1080_k15_p1,Medium,16.0,1.0,271.059,0.0,11.142,276.516,287.657,True,5.457
js_worker,medium_1920x1080_k15_p1,Medium,16.0,4.0,390.102,0.0,12.425,394.552,406.976,True,4.449
js_worker,medium_1920x1080_k15_p1,Medium,16.0,8.0,454.55,0.0,14.133,463.092,477.225,True,8.542
js_worker,medium_1920x1080_k15_p1,Medium,16.0,16.0,550.127,0.0,21.755,569.354,591.109,True,19.227
js_worker,medium_1920x1080_k15_p1,Medium,16.0,32.0,568.116,552.02,28.521,1128.942,1157.464,True,8.806
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,1.0,286.779,0.0,11.412,292.615,304.027,False,5.836
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,4.0,287.096,0.0,623.166,523.331,1146.498,False,236.235
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,8.0,287.107,0.0,848.688,1336.783,2185.471,False,1049.676
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,16.0,286.814,0.0,1705.19,2340.32,4045.509,False,2053.506
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,1.0,287.853,0.0,11.408,293.305,304.713,True,5.451
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,2.0,287.592,276.541,14.719,562.251,576.97,True,-1.882
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,4.0,291.102,835.263,12.994,1126.444,1139.439,True,0.08
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,8.0,290.938,1819.899,15.661,2152.356,2168.017,True,41.519
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,16.0,290.003,3495.647,25.663,3986.795,4012.457,True,201.145
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,1.0,286.636,0.0,11.379,292.132,303.511,True,5.496
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,4.0,404.322,0.0,12.007,410.968,422.975,True,6.646
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,8.0,437.906,426.316,14.175,856.606,870.781,True,-7.615
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,16.0,458.66,1260.658,18.611,1705.315,1723.926,True,-14.004
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,1.0,286.715,0.0,11.338,292.064,303.401,True,5.349
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,4.0,400.342,0.0,12.077,404.585,416.661,True,4.242
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,8.0,468.709,0.0,14.14,477.426,491.566,True,8.718
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,16.0,487.264,470.213,17.985,946.065,964.05,True,-11.411
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,1.0,286.9,0.0,11.237,292.263,303.501,True,5.363
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,4.0,399.089,0.0,12.286,405.481,417.767,True,6.392
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,8.0,467.622,0.0,14.278,477.658,491.936,True,10.036
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,16.0,561.042,0.0,22.173,578.994,601.167,True,17.951
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,32.0,576.691,558.396,28.754,1143.026,1171.78,True,7.939
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,1.0,263.437,0.0,11.349,269.054,280.403,False,5.618
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,4.0,264.038,0.0,566.776,493.858,1060.633,False,229.819
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,8.0,264.341,0.0,807.293,1223.165,2030.457,False,958.824
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,16.0,264.31,0.0,1655.863,2116.437,3772.3,False,1852.127
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,1.0,264.223,0.0,11.299,269.619,280.918,True,5.395
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,2.0,264.201,253.087,14.578,517.403,531.981,True,0.116
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,4.0,267.043,769.158,13.325,1035.978,1049.304,True,-0.223
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,8.0,266.807,1685.656,14.999,1991.848,2006.847,True,39.386
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,16.0,266.682,3263.457,24.341,3709.16,3733.501,True,179.02
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,1.0,263.38,0.0,10.707,268.546,279.253,True,5.165
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,4.0,365.651,0.0,12.232,372.711,384.943,True,7.06
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,8.0,403.438,392.728,13.979,791.662,805.641,True,-4.504
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,16.0,413.199,1141.365,18.558,1542.254,1560.812,True,-12.311
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,1.0,263.62,0.0,11.393,268.89,280.283,True,5.27
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,4.0,364.713,0.0,11.978,369.229,381.207,True,4.515
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,8.0,430.81,0.0,14.93,440.744,455.674,True,9.935
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,16.0,443.458,426.89,17.722,865.092,882.814,True,-5.256
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,1.0,263.573,0.0,11.038,268.889,279.928,True,5.317
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,4.0,366.801,0.0,11.884,371.756,383.64,True,4.955
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,8.0,429.213,0.0,14.202,438.914,453.117,True,9.701
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,16.0,512.381,0.0,20.655,528.841,549.496,True,16.46
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,32.0,526.222,506.031,29.917,1042.011,1071.929,True,9.758
js_pure,large_1920x1080_k15_p10,Large,-1.0,1.0,2673.915,0.0,12.532,2679.405,2691.937,False,5.49
js_pure,large_1920x1080_k15_p10,Large,-1.0,4.0,2663.837,0.0,4208.256,4197.511,8405.767,False,1533.675
js_pure,large_1920x1080_k15_p10,Large,-1.0,8.0,2663.06,0.0,6579.964,8033.759,14613.723,False,5370.699
js_pure,large_1920x1080_k15_p10,Large,-1.0,16.0,2660.485,0.0,8274.24,17633.338,25907.578,False,14972.854
js_worker,large_1920x1080_k15_p10,Large,1.0,1.0,2658.373,0.0,13.266,2664.297,2677.563,True,5.924
js_worker,large_1920x1080_k15_p10,Large,1.0,2.0,2664.22,2657.16,16.451,4802.497,4818.948,True,-518.883
js_worker,large_1920x1080_k15_p10,Large,1.0,4.0,2661.33,6206.862,15.29,8371.312,8386.602,True,-496.881
js_worker,large_1920x1080_k15_p10,Large,1.0,8.0,2661.087,12048.394,22.959,14528.961,14551.92,True,-180.521
js_worker,large_1920x1080_k15_p10,Large,1.0,16.0,2662.343,22979.697,46.128,25820.012,25866.14,True,177.972
js_worker,large_1920x1080_k15_p10,Large,4.0,1.0,2661.202,0.0,12.267,2666.635,2678.902,True,5.433
js_worker,large_1920x1080_k15_p10,Large,4.0,4.0,4274.275,0.0,13.948,4192.607,4206.555,True,-81.668
js_worker,large_1920x1080_k15_p10,Large,4.0,8.0,4353.06,4284.354,20.613,7442.213,7462.827,True,-1195.201
js_worker,large_1920x1080_k15_p10,Large,4.0,16.0,4719.276,10251.817,39.222,13657.229,13696.451,True,-1313.865
js_worker,large_1920x1080_k15_p10,Large,8.0,1.0,2665.375,0.0,11.345,2670.901,2682.246,True,5.526
js_worker,large_1920x1080_k15_p10,Large,8.0,4.0,4231.406,0.0,13.851,4150.676,4164.527,True,-80.73
js_worker,large_1920x1080_k15_p10,Large,8.0,8.0,4620.848,0.0,18.919,4566.663,4585.581,True,-54.185
js_worker,large_1920x1080_k15_p10,Large,8.0,16.0,4599.276,4573.606,33.174,7869.255,7902.429,True,-1303.626
js_worker,large_1920x1080_k15_p10,Large,16.0,1.0,2667.842,0.0,13.217,2672.866,2686.083,True,5.023
js_worker,large_1920x1080_k15_p10,Large,16.0,4.0,4162.455,0.0,14.518,4021.08,4035.598,True,-141.375
js_worker,large_1920x1080_k15_p10,Large,16.0,8.0,4653.918,0.0,18.695,4547.19,4565.885,True,-106.728
js_worker,large_1920x1080_k15_p10,Large,16.0,16.0,5465.514,0.0,51.498,5515.859,5567.357,True,50.345
js_worker,large_1920x1080_k15_p10,Large,16.0,32.0,5500.149,5449.485,61.374,9239.601,9300.975,True,-1710.033
js_wasm,large_1920x1080_k15_p10,Large,-1.0,1.0,2825.731,0.0,12.365,2831.493,2843.858,False,5.761
js_wasm,large_1920x1080_k15_p10,Large,-1.0,4.0,2823.31,0.0,4345.35,4566.021,8911.371,False,1742.711
js_wasm,large_1920x1080_k15_p10,Large,-1.0,8.0,2823.118,0.0,6416.093,9051.723,15467.815,False,6228.604
js_wasm,large_1920x1080_k15_p10,Large,-1.0,16.0,2824.586,0.0,8821.959,18660.002,27481.961,False,15835.416
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,1.0,2843.032,0.0,12.566,2847.165,2859.731,True,4.133
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,2.0,2827.857,2820.47,15.205,5086.776,5101.981,True,-561.552
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,4.0,2838.596,6621.324,16.23,8927.316,8943.545,True,-532.605
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,8.0,2829.746,12813.084,24.78,15443.056,15467.835,True,-199.775
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,16.0,2829.638,24426.81,48.316,27424.542,27472.857,True,168.094
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,1.0,2832.327,0.0,13.117,2839.357,2852.475,True,7.03
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,4.0,4063.5,0.0,13.491,4013.544,4027.035,True,-49.956
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,8.0,4477.696,4392.543,21.264,7657.347,7678.611,True,-1212.892
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,16.0,4737.171,10364.631,40.13,13806.928,13847.058,True,-1294.874
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,1.0,2828.473,0.0,12.319,2833.24,2845.559,True,4.767
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,4.0,4237.207,0.0,14.561,4162.146,4176.708,True,-75.06
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,8.0,4752.646,0.0,18.68,4716.554,4735.234,True,-36.092
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,16.0,4811.543,4757.668,36.936,8176.269,8213.206,True,-1392.941
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,1.0,2841.43,0.0,12.248,2846.064,2858.311,True,4.634
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,4.0,4422.572,0.0,14.724,4509.435,4524.159,True,86.863
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,8.0,4719.257,0.0,19.793,4656.183,4675.975,True,-63.074
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,16.0,5547.873,0.0,54.512,5597.374,5651.886,True,49.501
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,32.0,5583.12,5525.828,65.236,9375.117,9440.354,True,-1733.83
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,1.0,2593.797,0.0,11.688,2599.677,2611.365,False,5.88
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,4.0,2594.364,0.0,4103.714,4093.034,8196.748,False,1498.67
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,8.0,2593.066,0.0,5931.822,8285.388,14217.21,False,5692.323
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,16.0,2593.579,0.0,8083.967,17167.65,25251.617,False,14574.071
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,1.0,2607.491,0.0,11.314,2612.184,2623.498,True,4.693
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,2.0,2592.056,2584.304,15.482,4668.452,4683.934,True,-507.908
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,4.0,2604.392,6074.672,16.648,8193.849,8210.496,True,-485.215
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,8.0,2603.311,11790.62,23.436,14217.801,14241.237,True,-176.13
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,16.0,2600.993,22455.963,46.721,25213.903,25260.624,True,156.947
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,1.0,2598.56,0.0,14.121,2604.615,2618.736,True,6.054
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,4.0,3798.829,0.0,13.207,3730.472,3743.679,True,-68.357
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,8.0,4172.084,4133.269,20.594,7395.673,7416.267,True,-909.679
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,16.0,4314.3,9564.684,38.642,12792.209,12830.851,True,-1086.775
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,1.0,2599.645,0.0,11.835,2605.298,2617.133,True,5.652
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,4.0,3881.254,0.0,14.903,3787.832,3802.734,True,-93.422
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,8.0,4408.774,0.0,18.576,4358.486,4377.063,True,-50.287
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,16.0,4360.637,4365.659,34.721,7618.969,7653.69,True,-1107.327
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,1.0,2601.661,0.0,11.09,2606.549,2617.639,True,4.888
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,4.0,3910.487,0.0,13.766,3883.895,3897.661,True,-26.592
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,8.0,4340.848,0.0,20.164,4335.373,4355.537,True,-5.475
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,16.0,5055.777,0.0,50.165,5099.843,5150.008,True,44.065
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,32.0,5061.29,5007.501,66.121,8505.43,8571.551,True,-1563.361
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,4619.547,0.0,20.093,4630.273,4650.367,False,10.727
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,4601.839,0.0,5952.323,7915.655,13867.978,False,3313.816
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,4588.15,0.0,9236.931,14759.045,23995.976,False,10170.895
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,4591.204,0.0,9808.133,28993.007,38801.14,False,24401.803
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,4595.312,0.0,22.926,4605.078,4628.004,True,9.766
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,4585.2,4575.664,27.464,8041.899,8069.363,True,-1118.965
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,4594.946,10331.199,27.705,13807.677,13835.382,True,-1118.468
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,4592.872,20073.348,38.838,23921.064,23959.902,True,-745.156
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,4592.532,38710.001,79.823,42902.123,42981.946,True,-400.41
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,4590.935,0.0,24.567,4601.411,4625.978,True,10.476
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,7536.482,0.0,28.039,7740.559,7768.599,True,204.077
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,7870.426,7651.013,37.385,13130.768,13168.153,True,-2390.671
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,7951.182,17030.712,72.507,22610.358,22682.865,True,-2371.536
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,4594.867,0.0,21.879,4605.323,4627.202,True,10.456
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,7814.954,0.0,27.482,7591.465,7618.947,True,-223.489
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,7968.832,0.0,34.315,7930.951,7965.266,True,-37.881
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,8006.277,7964.989,65.52,13425.096,13490.616,True,-2546.17
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,4611.859,0.0,22.893,4621.211,4644.104,True,9.352
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,7416.448,0.0,27.557,7299.027,7326.585,True,-117.421
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,8161.356,0.0,34.486,8261.709,8296.195,True,100.353
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,9433.977,0.0,93.643,9505.262,9598.906,True,71.286
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,9169.087,9414.563,109.192,14912.893,15022.084,True,-3670.758
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,4588.101,0.0,20.487,4597.34,4617.826,False,9.239
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,4584.37,0.0,5934.981,7889.1,13824.081,False,3304.73
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,4592.296,0.0,9242.522,14764.247,24006.769,False,10171.951
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,4594.582,0.0,9817.131,29001.256,38818.387,False,24406.674
