variant,workload,workload_short,concurrency,poolSize,throughput_rps,client_latency_mean,client_latency_p95,server_cpu_percent_after,is_worker
js_wasm,large_1920x1080_k15_p10,Large,1.0,-1.0,0.352,2843.858,2849.326,99.83,False
js_wasm,large_1920x1080_k15_p10,Large,4.0,-1.0,0.353,8911.371,15304.877,100.24,False
js_wasm,large_1920x1080_k15_p10,Large,8.0,-1.0,0.353,15467.815,25512.439,100.18,False
js_wasm,large_1920x1080_k15_p10,Large,16.0,-1.0,0.353,27481.961,45937.485,100.14,False
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,1.0,0.35,2859.731,2865.532,100.3,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,4.0,0.915,4027.035,5178.911,360.83,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,8.0,1.504,4735.234,5466.781,712.99,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,16.0,2.809,5651.886,5759.677,1556.51,True
js_wasm_simd,large_1920x1080_k15_p10,Large,1.0,-1.0,0.383,2611.365,2615.709,100.08,False
js_wasm_simd,large_1920x1080_k15_p10,Large,4.0,-1.0,0.384,8196.748,14078.333,100.17,False
js_wasm_simd,large_1920x1080_k15_p10,Large,8.0,-1.0,0.384,14217.21,23448.468,100.21,False
js_wasm_simd,large_1920x1080_k15_p10,Large,16.0,-1.0,0.384,25251.617,42198.791,100.22,False
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,1.0,0.381,2623.498,2629.073,100.21,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,4.0,0.972,3743.679,4774.049,359.24,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,8.0,1.642,4377.063,5023.959,723.15,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,16.0,3.071,5150.008,5277.824,1548.78,True
js_pure,heavy_2560x1440_k31_p5,Heavy,1.0,-1.0,0.215,4650.367,4659.754,100.09,False
js_pure,heavy_2560x1440_k31_p5,Heavy,4.0,-1.0,0.216,13867.978,21941.258,100.3,False
js_pure,heavy_2560x1440_k31_p5,Heavy,8.0,-1.0,0.217,23995.976,39404.679,100.27,False
js_pure,heavy_2560x1440_k31_p5,Heavy,16.0,-1.0,0.217,38801.14,74024.48,100.23,False
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,0.216,4628.004,4633.824,100.9,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,0.479,7768.599,9006.705,364.07,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,0.895,7965.266,9313.424,713.42,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,1.634,9598.906,9874.688,1541.9,True
js_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,-1.0,0.217,4617.826,4625.815,99.95,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,-1.0,0.217,13824.081,21871.178,100.08,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,-1.0,0.217,24006.769,39428.711,100.25,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,-1.0,0.217,38818.387,74073.01,100.2,False
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,0.215,4658.311,4665.752,100.22,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,0.489,7637.4,8749.3,373.3,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,0.895,8049.332,9191.499,712.99,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,1.637,9529.991,10043.459,1531.06,True
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,-1.0,0.244,4097.35,4101.923,100.11,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,-1.0,0.245,12271.324,19412.567,100.2,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,-1.0,0.245,21288.2,34956.721,100.24,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,-1.0,0.244,37990.985,66102.5,100.17,False
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,0.242,4133.887,4143.985,99.95,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,0.6,6147.789,7760.78,366.93,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,1.048,7008.308,8093.555,724.29,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,1.877,8409.041,8636.146,1543.44,True
