variant,workload,workload_short,poolSize,concurrency,throughput_rps,speedup,is_worker
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,8.0,47.407,0.338,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,16.0,47.326,0.174,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,1.0,44.216,0.875,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,4.0,130.584,,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,8.0,119.168,0.849,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,16.0,119.421,0.438,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,1.0,44.309,0.877,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,4.0,130.467,,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,8.0,226.269,1.613,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,16.0,233.303,0.855,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,1.0,44.471,0.88,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,4.0,131.55,,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,8.0,226.738,1.616,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,16.0,375.817,1.378,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,32.0,380.603,0.934,True
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,1.0,3.355,1.0,False
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,4.0,3.483,,False
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,8.0,3.531,,False
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,16.0,3.534,,False
js_worker,medium_1920x1080_k15_p1,Medium,1.0,1.0,3.483,1.038,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,2.0,3.616,1.0,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,4.0,3.593,,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,8.0,3.595,0.401,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,16.0,3.596,0.22,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,1.0,3.482,1.038,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,4.0,9.67,,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,8.0,8.976,1.0,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,16.0,8.792,0.537,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,1.0,3.482,1.038,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,4.0,9.677,,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,8.0,16.444,1.832,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,16.0,16.374,1.0,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,1.0,3.476,1.036,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,4.0,9.744,,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,8.0,16.516,1.84,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,16.0,26.49,1.618,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,32.0,26.592,1.0,True
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,1.0,3.289,0.98,False
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,4.0,3.348,,False
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,8.0,3.351,0.373,False
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,16.0,3.355,0.205,False
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,1.0,3.281,0.978,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,2.0,3.418,0.945,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,4.0,3.371,,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,8.0,3.38,0.377,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,16.0,3.386,0.207,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,1.0,3.294,0.982,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,4.0,9.351,,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,8.0,8.88,0.989,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,16.0,8.594,0.525,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,1.0,3.296,0.982,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,4.0,9.505,,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,8.0,15.952,1.777,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,16.0,15.962,0.975,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,1.0,3.294,0.982,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,4.0,9.491,,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,8.0,15.982,1.781,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,16.0,26.12,1.595,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,32.0,26.218,0.986,True
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,1.0,3.566,1.063,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,4.0,3.63,,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,8.0,3.628,0.404,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,16.0,3.632,0.222,False
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,1.0,3.559,1.061,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,2.0,3.711,1.026,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,4.0,3.671,,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,8.0,3.674,0.409,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,16.0,3.676,0.224,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,1.0,3.58,1.067,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,4.0,10.267,,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,8.0,9.636,1.074,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,16.0,9.513,0.581,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,1.0,3.567,1.063,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,4.0,10.42,,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,8.0,17.3,1.927,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,16.0,17.474,1.067,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,1.0,3.572,1.065,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,4.0,10.356,,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,8.0,17.417,1.94,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,16.0,28.52,1.742,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,32.0,28.747,1.081,True
js_pure,large_1920x1080_k15_p10,Large,-1.0,1.0,0.371,1.0,False
js_pure,large_1920x1080_k15_p10,Large,-1.0,4.0,0.374,,False
js_pure,large_1920x1080_k15_p10,Large,-1.0,8.0,0.373,,False
js_pure,large_1920x1080_k15_p10,Large,-1.0,16.0,0.374,,False
js_worker,large_1920x1080_k15_p10,Large,1.0,1.0,0.373,1.005,True
js_worker,large_1920x1080_k15_p10,Large,1.0,2.0,0.374,1.0,True
js_worker,large_1920x1080_k15_p10,Large,1.0,4.0,0.375,,True
js_worker,large_1920x1080_k15_p10,Large,1.0,8.0,0.375,0.434,True
js_worker,large_1920x1080_k15_p10,Large,1.0,16.0,0.375,0.238,True
js_worker,large_1920x1080_k15_p10,Large,4.0,1.0,0.373,1.005,True
js_worker,large_1920x1080_k15_p10,Large,4.0,4.0,0.905,,True
js_worker,large_1920x1080_k15_p10,Large,4.0,8.0,0.865,1.0,True
js_worker,large_1920x1080_k15_p10,Large,4.0,16.0,0.824,0.523,True
js_worker,large_1920x1080_k15_p10,Large,8.0,1.0,0.373,1.004,True
js_worker,large_1920x1080_k15_p10,Large,8.0,4.0,0.881,,True
js_worker,large_1920x1080_k15_p10,Large,8.0,8.0,1.512,1.749,True
js_worker,large_1920x1080_k15_p10,Large,8.0,16.0,1.577,1.0,True
js_worker,large_1920x1080_k15_p10,Large,16.0,1.0,0.372,1.002,True
js_worker,large_1920x1080_k15_p10,Large,16.0,4.0,0.911,,True
js_worker,large_1920x1080_k15_p10,Large,16.0,8.0,1.538,1.779,True
js_worker,large_1920x1080_k15_p10,Large,16.0,16.0,2.846,1.805,True
js_worker,large_1920x1080_k15_p10,Large,16.0,32.0,2.852,1.0,True
js_wasm,large_1920x1080_k15_p10,Large,-1.0,1.0,0.352,0.947,False
js_wasm,large_1920x1080_k15_p10,Large,-1.0,4.0,0.353,,False
js_wasm,large_1920x1080_k15_p10,Large,-1.0,8.0,0.353,0.408,False
js_wasm,large_1920x1080_k15_p10,Large,-1.0,16.0,0.353,0.224,False
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,1.0,0.35,0.941,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,2.0,0.353,0.945,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,4.0,0.352,,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,8.0,0.353,0.408,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,16.0,0.353,0.224,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,1.0,0.351,0.944,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,4.0,0.915,,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,8.0,0.845,0.978,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,16.0,0.804,0.51,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,1.0,0.351,0.946,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,4.0,0.878,,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,8.0,1.504,1.74,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,16.0,1.517,0.962,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,1.0,0.35,0.942,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,4.0,0.819,,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,8.0,1.454,1.682,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,16.0,2.809,1.781,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,32.0,2.81,0.985,True
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,1.0,0.383,1.031,False
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,4.0,0.384,,False
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,8.0,0.384,0.444,False
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,16.0,0.384,0.243,False
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,1.0,0.381,1.026,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,2.0,0.384,1.029,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,4.0,0.383,,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,8.0,0.383,0.443,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,16.0,0.384,0.243,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,1.0,0.382,1.028,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,4.0,0.972,,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,8.0,0.917,1.061,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,16.0,0.895,0.568,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,1.0,0.382,1.029,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,4.0,0.981,,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,8.0,1.642,1.9,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,16.0,1.665,1.056,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,1.0,0.382,1.028,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,4.0,0.94,,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,8.0,1.666,1.927,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,16.0,3.071,1.947,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,32.0,3.09,1.084,True
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,0.215,1.0,False
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,0.216,,False
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,0.217,,False
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,0.217,,False
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,0.216,1.005,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,0.217,1.0,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,0.217,,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,0.217,0.458,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,0.217,0.241,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,0.216,1.005,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,0.479,,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,0.475,1.0,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,0.483,0.536,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,0.216,1.005,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,0.491,,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,0.895,1.885,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,0.901,1.0,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,0.215,1.001,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,0.48,,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,0.892,1.878,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,1.634,1.813,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,1.552,1.0,True
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,0.217,1.007,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,0.217,,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,0.217,0.457,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,0.217,0.24,False
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,0.215,0.998,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,0.218,1.004,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,0.216,,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,0.217,0.457,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,0.217,0.241,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,0.217,1.007,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,0.489,,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,0.502,1.057,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,0.486,0.539,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,0.216,1.004,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,0.502,,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,0.895,1.885,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,0.91,1.01,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,0.215,1.001,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,0.549,,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,0.889,1.873,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,1.637,1.816,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,1.625,1.047,True
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,0.244,1.135,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,0.245,,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,0.245,0.515,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,0.244,0.271,False
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,0.242,1.125,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,0.244,1.125,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,0.245,,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,0.244,0.513,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,0.244,0.271,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,0.243,1.131,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,0.6,,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,0.564,1.188,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,0.553,0.613,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,0.244,1.136,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,0.597,,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,1.048,2.208,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,1.028,1.14,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,0.243,1.131,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,0.55,,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,1.015,2.137,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,1.877,2.082,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,1.886,1.215,True
