variant,workload,workload_short,poolSize,concurrency,server_eventloop_lag_p95_after,server_eventloop_lag_max_after,server_eventloop_lag_p95_delta,is_worker
js_worker,medium_1920x1080_k15_p1,Medium,1.0,1.0,17.09,24.92,1.02,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,2.0,17.03,25.04,0.88,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,4.0,17.22,25.96,1.12,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,8.0,16.8,43.29,0.7,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,16.0,16.68,73.49,0.58,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,1.0,17.32,24.94,1.25,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,4.0,19.79,26.15,3.73,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,8.0,19.66,45.36,3.67,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,16.0,19.84,79.5,3.76,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,1.0,17.35,24.88,1.27,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,4.0,19.78,26.67,3.82,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,8.0,21.07,52.89,4.96,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,16.0,20.78,84.94,4.62,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,1.0,16.87,24.79,0.87,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,4.0,19.99,25.89,4.06,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,8.0,20.84,47.79,4.78,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,16.0,24.2,84.83,8.19,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,32.0,24.95,194.55,8.72,True
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,1.0,306.41,308.88,290.32,False
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,4.0,1497.82,1620.2,1481.72,False
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,8.0,4131.09,4659.27,4115.03,False
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,16.0,5954.71,8939.86,5938.65,False
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,1.0,16.74,25.25,0.66,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,2.0,16.93,24.88,0.76,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,4.0,16.82,25.87,0.81,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,8.0,16.72,48.24,0.71,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,16.0,16.78,68.63,0.75,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,1.0,17.08,25.11,1.01,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,4.0,19.68,28.51,3.44,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,8.0,19.95,55.99,3.95,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,16.0,19.58,82.39,3.54,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,1.0,16.95,24.83,0.87,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,4.0,20.04,27.1,3.96,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,8.0,20.87,67.13,4.84,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,16.0,20.92,83.31,4.89,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,1.0,17.17,24.95,1.11,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,4.0,19.91,26.78,3.92,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,8.0,21.3,54.25,5.18,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,16.0,23.87,87.8,7.83,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,32.0,24.9,207.22,8.75,True
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,1.0,283.12,285.36,266.98,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,4.0,1456.32,1573.61,1440.25,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,8.0,3853.67,4303.36,3837.6,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,16.0,5780.95,8256.79,5764.9,False
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,1.0,17.3,25.25,1.11,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,2.0,17.18,25.22,1.07,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,4.0,17.29,25.49,1.19,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,8.0,16.93,43.95,0.89,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,16.0,16.9,71.2,0.84,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,1.0,17.0,24.7,0.92,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,4.0,19.99,26.75,3.92,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,8.0,19.98,54.6,3.94,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,16.0,19.9,71.71,3.89,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,1.0,17.42,25.34,1.37,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,4.0,20.33,26.83,4.35,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,8.0,21.27,52.85,5.2,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,16.0,21.23,87.21,5.23,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,1.0,16.97,24.82,0.95,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,4.0,20.1,26.35,4.08,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,8.0,21.04,59.13,5.09,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,16.0,23.91,99.4,7.82,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,32.0,25.07,202.43,8.99,True
js_pure,large_1920x1080_k15_p10,Large,-1.0,1.0,2695.14,2698.44,2679.04,False
js_pure,large_1920x1080_k15_p10,Large,-1.0,4.0,8036.29,13366.65,8020.28,False
js_pure,large_1920x1080_k15_p10,Large,-1.0,8.0,18711.39,24101.67,18695.42,False
js_pure,large_1920x1080_k15_p10,Large,-1.0,16.0,40087.96,45442.29,40071.95,False
js_worker,large_1920x1080_k15_p10,Large,1.0,1.0,16.26,24.13,0.23,True
js_worker,large_1920x1080_k15_p10,Large,1.0,2.0,16.21,22.36,0.13,True
js_worker,large_1920x1080_k15_p10,Large,1.0,4.0,16.25,23.43,0.24,True
js_worker,large_1920x1080_k15_p10,Large,1.0,8.0,16.33,39.52,0.25,True
js_worker,large_1920x1080_k15_p10,Large,1.0,16.0,16.24,66.83,0.18,True
js_worker,large_1920x1080_k15_p10,Large,4.0,1.0,16.33,23.66,0.19,True
js_worker,large_1920x1080_k15_p10,Large,4.0,4.0,16.05,24.97,-0.09,True
js_worker,large_1920x1080_k15_p10,Large,4.0,8.0,16.06,44.61,-0.09,True
js_worker,large_1920x1080_k15_p10,Large,4.0,16.0,15.95,74.06,-0.09,True
js_worker,large_1920x1080_k15_p10,Large,8.0,1.0,16.27,22.91,0.19,True
js_worker,large_1920x1080_k15_p10,Large,8.0,4.0,16.04,24.04,-0.01,True
js_worker,large_1920x1080_k15_p10,Large,8.0,8.0,15.97,44.4,-0.01,True
js_worker,large_1920x1080_k15_p10,Large,8.0,16.0,16.0,78.37,-0.08,True
js_worker,large_1920x1080_k15_p10,Large,16.0,1.0,16.34,22.35,0.24,True
js_worker,large_1920x1080_k15_p10,Large,16.0,4.0,16.02,23.54,-0.03,True
js_worker,large_1920x1080_k15_p10,Large,16.0,8.0,15.92,45.18,-0.1,True
js_worker,large_1920x1080_k15_p10,Large,16.0,16.0,25.1,77.05,9.01,True
js_worker,large_1920x1080_k15_p10,Large,16.0,32.0,30.83,190.52,14.7,True
js_wasm,large_1920x1080_k15_p10,Large,-1.0,1.0,2846.13,2852.43,2829.95,False
js_wasm,large_1920x1080_k15_p10,Large,-1.0,4.0,8510.84,14171.95,8494.75,False
js_wasm,large_1920x1080_k15_p10,Large,-1.0,8.0,17014.49,25515.75,16998.48,False
js_wasm,large_1920x1080_k15_p10,Large,-1.0,16.0,42561.4,48208.13,42545.37,False
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,1.0,16.33,22.45,0.25,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,2.0,16.25,22.45,0.16,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,4.0,16.26,22.95,0.23,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,8.0,16.27,40.52,0.22,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,16.0,16.33,72.95,0.17,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,1.0,16.27,22.96,0.25,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,4.0,16.07,25.28,-0.04,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,8.0,16.09,47.47,-0.04,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,16.0,15.97,74.07,-0.08,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,1.0,16.31,23.31,0.24,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,4.0,16.04,27.0,0.04,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,8.0,15.94,52.96,-0.19,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,16.0,15.96,75.26,-0.08,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,1.0,16.23,22.75,0.22,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,4.0,16.06,25.23,0.01,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,8.0,16.04,47.09,-0.13,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,16.0,25.49,88.71,9.41,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,32.0,30.95,191.5,14.86,True
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,1.0,2613.05,2615.15,2597.0,False
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,4.0,7818.78,13040.69,7802.81,False
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,8.0,15620.79,23447.36,15604.69,False
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,16.0,39095.71,44287.06,39079.59,False
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,1.0,16.34,23.67,0.15,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,2.0,16.23,23.05,0.15,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,4.0,16.27,23.94,0.28,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,8.0,16.31,39.82,0.2,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,16.0,16.27,69.74,0.24,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,1.0,16.29,21.76,0.23,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,4.0,16.13,26.63,0.08,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,8.0,16.03,48.45,-0.01,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,16.0,15.91,72.09,-0.14,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,1.0,16.25,22.82,0.21,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,4.0,16.04,24.96,-0.02,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,8.0,15.95,52.4,-0.04,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,16.0,15.92,82.2,-0.12,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,1.0,16.35,23.35,0.15,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,4.0,16.01,25.41,0.01,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,8.0,15.91,48.2,-0.16,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,16.0,25.98,83.49,9.94,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,32.0,30.67,191.85,14.51,True
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,4653.28,4662.27,4637.3,False
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,13856.78,13881.95,13840.78,False
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,18387.83,32264.98,18371.84,False
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,36861.94,59980.94,36845.86,False
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,16.38,24.68,0.23,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,16.18,28.88,0.23,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,16.26,36.42,0.25,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,16.29,91.84,0.24,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,16.4,127.78,0.33,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,16.3,24.69,0.24,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,16.02,38.8,0.01,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,16.01,91.32,0.01,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,16.0,139.15,0.0,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,16.26,25.46,0.21,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,15.97,36.86,-0.01,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,15.93,81.4,-0.1,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,15.92,130.88,-0.17,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,16.29,23.58,0.18,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,16.19,37.93,0.11,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,15.9,71.99,-0.12,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,26.68,138.45,10.77,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,30.59,314.69,14.41,True
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,4620.33,4627.52,4604.31,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,13802.86,13819.63,13786.84,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,18404.61,32281.76,18388.54,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,36828.39,60019.29,36812.43,False
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,16.29,25.03,0.24,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,16.25,26.47,0.19,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,16.34,38.04,0.3,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,16.37,91.79,0.34,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,16.31,122.49,0.29,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,16.32,24.35,0.29,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,15.96,41.2,-0.07,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,16.01,100.27,-0.05,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,16.02,137.68,0.01,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,16.3,25.12,0.24,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,16.09,38.75,0.09,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,15.92,78.81,-0.09,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,15.91,156.03,-0.1,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,16.3,22.11,0.29,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,15.99,37.67,-0.07,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,15.9,76.93,-0.1,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,24.92,152.66,8.86,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,30.44,334.95,14.37,True
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,4096.64,4100.83,4080.58,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,12252.16,12273.73,12236.13,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,16323.03,29211.53,16307.04,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,32658.05,60843.77,32641.95,False
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,16.37,25.11,0.27,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,16.17,28.7,0.22,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,16.3,38.24,0.29,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,16.32,72.01,0.3,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,16.26,131.2,0.2,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,16.29,23.73,0.26,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,16.03,39.89,0.08,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,16.01,93.85,-0.08,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,16.03,135.06,-0.01,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,16.34,24.07,0.3,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,16.02,37.38,-0.0,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,15.91,79.26,-0.11,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,15.89,154.74,-0.19,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,16.41,24.28,0.3,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,16.05,41.08,0.07,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,15.91,80.65,-0.14,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,25.48,163.5,9.53,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,30.99,326.18,14.92,True
