variant,workload,workload_short,poolSize,concurrency,throughput_rps,is_worker
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,1.0,43.429,False
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,4.0,46.449,False
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,8.0,45.13,False
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,16.0,46.296,False
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,1.0,44.563,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,2.0,48.156,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,4.0,47.611,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,8.0,47.407,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,16.0,47.326,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,1.0,44.216,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,4.0,130.584,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,8.0,119.168,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,16.0,119.421,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,1.0,44.309,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,4.0,130.467,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,8.0,226.269,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,16.0,233.303,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,1.0,44.471,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,4.0,131.55,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,8.0,226.738,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,16.0,375.817,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,32.0,380.603,True
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,1.0,3.355,False
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,4.0,3.483,False
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,8.0,3.531,False
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,16.0,3.534,False
js_worker,medium_1920x1080_k15_p1,Medium,1.0,1.0,3.483,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,2.0,3.616,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,4.0,3.593,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,8.0,3.595,True
js_worker,medium_1920x1080_k15_p1,Medium,1.0,16.0,3.596,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,1.0,3.482,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,4.0,9.67,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,8.0,8.976,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,16.0,8.792,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,1.0,3.482,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,4.0,9.677,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,8.0,16.444,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,16.0,16.374,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,1.0,3.476,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,4.0,9.744,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,8.0,16.516,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,16.0,26.49,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,32.0,26.592,True
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,1.0,3.289,False
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,4.0,3.348,False
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,8.0,3.351,False
js_wasm,medium_1920x1080_k15_p1,Medium,-1.0,16.0,3.355,False
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,1.0,3.281,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,2.0,3.418,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,4.0,3.371,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,8.0,3.38,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,16.0,3.386,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,1.0,3.294,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,4.0,9.351,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,8.0,8.88,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,16.0,8.594,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,1.0,3.296,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,4.0,9.505,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,8.0,15.952,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,16.0,15.962,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,1.0,3.294,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,4.0,9.491,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,8.0,15.982,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,16.0,26.12,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,32.0,26.218,True
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,1.0,3.566,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,4.0,3.63,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,8.0,3.628,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,-1.0,16.0,3.632,False
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,1.0,3.559,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,2.0,3.711,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,4.0,3.671,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,8.0,3.674,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,16.0,3.676,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,1.0,3.58,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,4.0,10.267,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,8.0,9.636,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,16.0,9.513,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,1.0,3.567,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,4.0,10.42,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,8.0,17.3,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,16.0,17.474,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,1.0,3.572,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,4.0,10.356,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,8.0,17.417,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,16.0,28.52,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,32.0,28.747,True
js_pure,large_1920x1080_k15_p10,Large,-1.0,1.0,0.371,False
js_pure,large_1920x1080_k15_p10,Large,-1.0,4.0,0.374,False
js_pure,large_1920x1080_k15_p10,Large,-1.0,8.0,0.373,False
js_pure,large_1920x1080_k15_p10,Large,-1.0,16.0,0.374,False
js_worker,large_1920x1080_k15_p10,Large,1.0,1.0,0.373,True
js_worker,large_1920x1080_k15_p10,Large,1.0,2.0,0.374,True
js_worker,large_1920x1080_k15_p10,Large,1.0,4.0,0.375,True
js_worker,large_1920x1080_k15_p10,Large,1.0,8.0,0.375,True
js_worker,large_1920x1080_k15_p10,Large,1.0,16.0,0.375,True
js_worker,large_1920x1080_k15_p10,Large,4.0,1.0,0.373,True
js_worker,large_1920x1080_k15_p10,Large,4.0,4.0,0.905,True
js_worker,large_1920x1080_k15_p10,Large,4.0,8.0,0.865,True
js_worker,large_1920x1080_k15_p10,Large,4.0,16.0,0.824,True
js_worker,large_1920x1080_k15_p10,Large,8.0,1.0,0.373,True
js_worker,large_1920x1080_k15_p10,Large,8.0,4.0,0.881,True
js_worker,large_1920x1080_k15_p10,Large,8.0,8.0,1.512,True
js_worker,large_1920x1080_k15_p10,Large,8.0,16.0,1.577,True
js_worker,large_1920x1080_k15_p10,Large,16.0,1.0,0.372,True
js_worker,large_1920x1080_k15_p10,Large,16.0,4.0,0.911,True
js_worker,large_1920x1080_k15_p10,Large,16.0,8.0,1.538,True
js_worker,large_1920x1080_k15_p10,Large,16.0,16.0,2.846,True
js_worker,large_1920x1080_k15_p10,Large,16.0,32.0,2.852,True
js_wasm,large_1920x1080_k15_p10,Large,-1.0,1.0,0.352,False
js_wasm,large_1920x1080_k15_p10,Large,-1.0,4.0,0.353,False
js_wasm,large_1920x1080_k15_p10,Large,-1.0,8.0,0.353,False
js_wasm,large_1920x1080_k15_p10,Large,-1.0,16.0,0.353,False
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,1.0,0.35,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,2.0,0.353,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,4.0,0.352,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,8.0,0.353,True
js_worker_wasm,large_1920x1080_k15_p10,Large,1.0,16.0,0.353,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,1.0,0.351,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,4.0,0.915,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,8.0,0.845,True
js_worker_wasm,large_1920x1080_k15_p10,Large,4.0,16.0,0.804,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,1.0,0.351,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,4.0,0.878,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,8.0,1.504,True
js_worker_wasm,large_1920x1080_k15_p10,Large,8.0,16.0,1.517,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,1.0,0.35,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,4.0,0.819,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,8.0,1.454,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,16.0,2.809,True
js_worker_wasm,large_1920x1080_k15_p10,Large,16.0,32.0,2.81,True
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,1.0,0.383,False
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,4.0,0.384,False
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,8.0,0.384,False
js_wasm_simd,large_1920x1080_k15_p10,Large,-1.0,16.0,0.384,False
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,1.0,0.381,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,2.0,0.384,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,4.0,0.383,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,8.0,0.383,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,1.0,16.0,0.384,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,1.0,0.382,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,4.0,0.972,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,8.0,0.917,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,4.0,16.0,0.895,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,1.0,0.382,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,4.0,0.981,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,8.0,1.642,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,8.0,16.0,1.665,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,1.0,0.382,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,4.0,0.94,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,8.0,1.666,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,16.0,3.071,True
js_worker_wasm_simd,large_1920x1080_k15_p10,Large,16.0,32.0,3.09,True
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,0.215,False
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,0.216,False
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,0.217,False
js_pure,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,0.217,False
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,0.216,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,0.217,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,0.217,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,0.217,True
js_worker,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,0.217,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,0.216,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,0.479,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,0.475,True
js_worker,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,0.483,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,0.216,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,0.491,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,0.895,True
js_worker,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,0.901,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,0.215,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,0.48,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,0.892,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,1.634,True
js_worker,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,1.552,True
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,0.217,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,0.217,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,0.217,False
js_wasm,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,0.217,False
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,0.215,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,0.218,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,0.216,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,0.217,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,0.217,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,0.217,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,0.489,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,0.502,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,0.486,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,0.216,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,0.502,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,0.895,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,0.91,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,0.215,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,0.549,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,0.889,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,1.637,True
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,1.625,True
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,0.244,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,0.245,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,0.245,False
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,0.244,False
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,0.242,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,0.244,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,0.245,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,0.244,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,0.244,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,0.243,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,0.6,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,0.564,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,0.553,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,0.244,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,0.597,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,1.048,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,1.028,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,0.243,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,0.55,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,1.015,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,1.877,True
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,1.886,True
