variant,workload,concurrency,poolSize,effectivePixels_mpix,throughput_mpix_sec,throughput_std,speedup_vs_js_worker,latency_mean_ms,latency_p95_ms,compute_mean_ms,cpu_percent,el_lag_p95_ms,el_lag_max_ms,el_lag_severity,mem_peak_rss_mb,worker_overhead_ms,num_runs
js_worker,large_1920x1080_k15_p10,4,4,20.736,29.425,0.19,1.0,2800.338,2835.91,2800.033,397.729,15.859,22.615,healthy,2863.238,0.305,7
js_worker_wasm,large_1920x1080_k15_p10,4,4,20.736,27.961,0.105,0.95,2959.127,2977.124,2958.918,398.33,15.835,22.076,healthy,2963.222,0.209,7
js_worker_wasm_simd,large_1920x1080_k15_p10,4,4,20.736,30.442,0.148,1.035,2718.646,2733.861,2718.428,398.848,15.863,23.216,healthy,3515.699,0.218,7
js_worker,large_1920x1080_k15_p10,8,8,20.736,47.907,0.785,1.0,2908.53,3013.245,2908.142,672.698,15.88,20.819,healthy,4356.364,0.388,7
js_worker_wasm,large_1920x1080_k15_p10,8,8,20.736,45.511,0.173,0.95,3051.952,3103.515,3051.438,669.844,15.86,21.238,healthy,4914.657,0.514,7
js_worker_wasm_simd,large_1920x1080_k15_p10,8,8,20.736,49.597,0.234,1.035,2800.116,2845.285,2799.663,670.21,15.854,21.491,healthy,6275.48,0.453,7
js_worker,large_1920x1080_k15_p10,16,16,20.736,49.408,0.335,1.0,5020.824,5652.508,5020.244,1193.348,33.044,35.914,degraded,7787.429,0.58,7
js_worker_wasm,large_1920x1080_k15_p10,16,16,20.736,48.344,0.113,0.978,5068.724,5608.939,5067.386,1179.248,32.983,34.884,degraded,9224.191,1.338,7
js_worker_wasm_simd,large_1920x1080_k15_p10,16,16,20.736,52.803,0.049,1.069,4638.761,5134.55,4637.454,1175.854,33.0,35.333,degraded,12011.189,1.307,7
js_pure,heavy_2560x1440_k31_p5,1,1,18.432,4.032,0.021,,4571.397,4594.049,4571.374,100.039,0.001,0.0,healthy,3941.332,0.023,7
js_worker,heavy_2560x1440_k31_p5,1,1,18.432,4.03,0.016,1.0,4573.439,4605.612,4573.002,100.088,16.309,21.784,healthy,2231.657,0.437,7
js_worker_wasm,heavy_2560x1440_k31_p5,1,1,18.432,4.034,0.014,1.001,4569.369,4594.507,4569.077,100.096,16.313,21.627,healthy,2354.235,0.292,7
js_worker_wasm_simd,heavy_2560x1440_k31_p5,1,1,18.432,4.558,0.016,1.131,4044.096,4057.365,4043.818,100.105,16.358,21.917,healthy,2540.179,0.278,7
js_worker,heavy_2560x1440_k31_p5,4,4,18.432,15.247,0.054,1.0,4818.192,4852.356,4817.762,398.488,15.837,21.412,healthy,2956.546,0.43,7
js_worker_wasm,heavy_2560x1440_k31_p5,4,4,18.432,15.282,0.068,1.002,4816.517,4843.326,4816.214,399.022,15.84,20.637,healthy,2994.651,0.303,7
js_worker_wasm_simd,heavy_2560x1440_k31_p5,4,4,18.432,17.265,0.066,1.132,4262.281,4285.151,4261.975,399.185,15.854,22.055,healthy,3563.331,0.307,7
js_worker,heavy_2560x1440_k31_p5,8,8,18.432,24.796,0.448,1.0,4990.277,5101.695,4989.793,671.852,15.864,21.903,healthy,4554.485,0.484,7
js_worker_wasm,heavy_2560x1440_k31_p5,8,8,18.432,24.877,0.104,1.003,4957.205,5033.45,4956.883,669.246,15.854,21.866,healthy,5155.122,0.322,7
js_worker_wasm_simd,heavy_2560x1440_k31_p5,8,8,18.432,28.101,0.073,1.133,4393.41,4469.83,4393.101,669.819,15.853,21.002,healthy,6435.629,0.308,7
js_worker,heavy_2560x1440_k31_p5,16,16,18.432,25.407,0.344,1.0,8613.349,9580.504,8612.355,1184.727,33.007,36.878,degraded,8076.582,0.994,7
js_worker_wasm,heavy_2560x1440_k31_p5,16,16,18.432,25.892,0.058,1.019,8479.998,9418.196,8478.044,1188.004,33.021,38.058,degraded,9488.997,1.954,7
js_worker_wasm_simd,heavy_2560x1440_k31_p5,16,16,18.432,29.214,0.048,1.15,7519.766,8348.967,7517.352,1188.238,33.032,35.205,degraded,12274.425,2.413,7
js_pure,ultra_3840x2160_k31_p5,1,1,41.472,4.047,0.016,,10247.214,10292.412,10247.188,100.026,0.001,0.0,healthy,3986.002,0.026,7
js_worker,ultra_3840x2160_k31_p5,1,1,41.472,4.051,0.014,1.0,10236.748,10274.976,10236.187,100.114,16.296,21.545,healthy,1907.783,0.561,7
js_worker_wasm,ultra_3840x2160_k31_p5,1,1,41.472,4.215,0.016,1.04,9839.218,9889.905,9838.84,100.086,16.306,22.053,healthy,1989.282,0.377,7
js_worker_wasm_simd,ultra_3840x2160_k31_p5,1,1,41.472,4.762,0.017,1.175,8709.792,8733.228,8709.421,100.11,16.349,21.816,healthy,2153.339,0.371,7
js_worker,ultra_3840x2160_k31_p5,4,4,41.472,15.31,0.067,1.0,10797.079,10861.993,10796.463,398.65,15.842,21.449,healthy,3016.366,0.616,7
js_worker_wasm,ultra_3840x2160_k31_p5,4,4,41.472,15.941,0.074,1.041,10395.315,10439.716,10394.875,399.29,15.832,22.359,healthy,3129.593,0.441,7
js_worker_wasm_simd,ultra_3840x2160_k31_p5,4,4,41.472,18.025,0.074,1.177,9189.018,9229.678,9188.548,399.242,15.86,21.812,healthy,3686.247,0.47,7
js_worker,ultra_3840x2160_k31_p5,8,8,41.472,25.093,0.071,1.0,11058.283,11186.171,11057.706,669.146,15.853,22.563,healthy,4378.756,0.578,7
js_worker_wasm,ultra_3840x2160_k31_p5,8,8,41.472,25.936,0.128,1.034,10702.72,10853.372,10702.3,669.469,15.849,22.757,healthy,5154.446,0.419,7
js_worker_wasm_simd,ultra_3840x2160_k31_p5,8,8,41.472,29.315,0.116,1.168,9468.065,9607.184,9467.655,669.462,15.854,22.364,healthy,6474.435,0.41,7
js_worker,ultra_3840x2160_k31_p5,16,16,41.472,25.396,0.045,1.0,19597.005,21835.944,19595.627,1196.454,33.058,37.613,degraded,8563.818,1.378,7
js_worker_wasm,ultra_3840x2160_k31_p5,16,16,41.472,25.999,0.057,1.024,19247.044,21494.059,19243.817,1202.627,33.058,37.112,degraded,10260.757,3.226,7
js_worker_wasm_simd,ultra_3840x2160_k31_p5,16,16,41.472,29.422,0.061,1.158,16992.888,18977.375,16989.943,1201.057,33.063,38.446,degraded,13110.883,2.945,7
