variant,workload,effectivePixels_mpix,el_lag_p95_ms,el_lag_p99_ms,el_lag_max_ms,cpu_percent,throughput_mpix_sec,mode,concurrency
js_worker_wasm_simd,ultra_3840x2160_k31_p5,41.472,16.3501,16.4811,21.6807,100.1039,4.7614,single,1
js_worker_wasm_simd,medium_1920x1080_k15_p1,2.074,16.377,19.5999,21.5707,100.269,7.921,single,1
js_worker_wasm_simd,heavy_2560x1440_k31_p5,18.432,16.3524,16.4917,21.5707,100.1422,4.5594,single,1
js_worker_wasm_simd,large_1920x1080_k15_p10,20.736,16.3395,16.501,21.9756,100.1266,8.0324,single,1
js_worker_wasm_simd,large_1920x1080_k15_p10,20.736,16.3407,16.4928,21.4115,100.0503,8.0375,load_c1,1
js_worker_wasm_simd,medium_1920x1080_k15_p1,2.074,16.3641,19.2208,21.868,100.8274,7.9143,load_c1,1
js_worker_wasm_simd,small_512x512_k5_p1,0.262,19.4361,19.8738,19.8738,101.2659,13.3641,load_c1,1
js_worker_wasm_simd,small_512x512_k5_p1,0.262,19.4455,19.7568,19.7568,102.4595,13.3601,single,1
js_worker_wasm_simd,tiny_128x128_k3_p1,0.016,10.6906,10.7421,10.8088,102.1136,15.3565,single,1
js_worker_wasm_simd,tiny_128x128_k3_p1,0.016,10.6753,10.8205,11.0042,112.4836,15.306,load_c1,1
js_worker_wasm_simd,heavy_2560x1440_k31_p5,18.432,16.3583,16.5092,21.9171,100.1047,4.5578,load_c1,1
js_worker_wasm_simd,ultra_3840x2160_k31_p5,41.472,16.3489,16.4952,21.8165,100.1104,4.7616,load_c1,1
